word;etymology;related
davul;orig	Arapça,ṭbl	Farsça,tabal	;
abrasif;orig	İngilizce ,abrasive	Latince,abradere	Latince,radere, ras-	;
fizibilite;orig	İngilizce ,feasibility	İngilizce ,feasible	Fransızca ,faisible	Fransızca ,faire	Latince,facere	;
barbunya;orig	Yeni Yunanca,barbúnia	Yeni Yunanca,barbúni	İtalyanca,barbone	Latince,barba	Hintavrupa Anadilinde,*bhardhā-	;
fak;orig	Arapça,fχχ	Aramice/Süryanice,paχ	;
fon;orig	Fransızca ,fond	Latince,fundus	Hintavrupa Anadilinde,*bhudh-	;
hav;"none	<p> ""köpek sesi"" <b>Ses yansımalı sözcüktür.</b> </p>";
çelik;orig	Orta Türkçe,çelik	Orta Türkçe,çalık	Eski Türkçe,çal-	;
hendese;orig	Arapça,hnds	Orta Farsça,handāçak	Orta Farsça,handāχtan, handāç-	;
amme;orig	Arapça,ˁmm	Arapça,ˁamma	;
vaveyla;orig	Arapça,wā waylā	;
şırfıntı;orig	Türkiye Türkçesi,çırpıntı	;
havi;orig	Arapça,ḥwy	Arapça,ḥawā	;
deriş|mek;orig	Türkiye Türkçesi,der-	;
ilelebet;orig	Arapça,ilā'l-abad	;
amyant;orig	Fransızca ,amiante	Eski Yunanca,amiántos	Eski Yunanca,miaínō	;
ilk;orig	Eski Türkçe,ilki 	;
baskül;orig	Fransızca ,bascule	Eski Fransızca,baculer	Fransızca ,battre	Fransızca ,cul	;
iguana;orig	İspanyolca ,iguana	O. Amerika dillerinden Karib dilinde,iwana	;
talaş;orig	Farsça,tarāş 	;
umacı;"none	<p> <i>uma </i>veya<i> umma</i> ""çocukları korkutmak için söylenen söz"" çocuk sözünden türetilmiştir. </p>";
tombul;orig	Türkiye Türkçesi,top	;
alev;orig	Türkiye Türkçesi,yalabı 	Eski Türkçe,yal-	;
cellat;orig	Arapça,cld	Arapça,calada	;
berjer;orig	Fransızca ,bergère	Fransızca ,berger	;
tiraje;orig	Farsça,tirāza 	;
vegan;orig	İngilizce ,vegan	İngilizce ,vegetarian	;
vatan;orig	Arapça,wṭn	Arapça,waṭana	;
ücret;orig	Arapça,Acr	;
diyapazon;orig	Fransızca ,diapason	Eski Yunanca,dia pasōn χordōn	Eski Yunanca,pâs, pan	;
kotlet;orig	Fransızca ,côtelette	Fransızca ,côte	;
kotan;orig	Ermenice,kotan	;
egzoz;orig	İngilizce ,exhaust	Latince,exhaurire, exhaust-	Latince,haurire, haust-	Hintavrupa Anadilinde,*aus-<sup>3</sup>	;
dribling;orig	İngilizce ,dribbling	İngilizce ,dribble	;
