word;etymology;related
ya;orig	Arapça,yā	;
safi;orig	Arapça,ṣfw	;
hayıt;orig	Arapça,ḥwṭ	;
vasektomi;orig	Fransızca ,vaséctomie	Latince,vas	Eski Yunanca,ektémnō, ektom-	Eski Yunanca,témnō, tom-	;
ucuz;orig	Eski Türkçe,uçuz	Eski Türkçe,uç-	;
otacı;orig	Eski Türkçe,otaçı	Eski Türkçe,ota-	Eski Türkçe,ot	;
seci;orig	Arapça,scˁ	Arapça,sacaˁa	İbranice ,şagˁa	Akatça,şegû	;
izan;orig	Arapça,ḏˁn	Arapça,ḏaˁana	;
mukarrer;orig	Arapça,ḳrr	Arapça,ḳarra	;
brifing;orig	İngilizce ,briefing	İngilizce ,brief	Fransızca ,bref	Latince,brevis	Hintavrupa Anadilinde,*mregh-u-	;
dağlıç;orig	Türkiye Türkçesi,dağla-	;
lakayt;orig	Arapça,lā ḳayd	;
bivefa;orig	Farsça,bī-vafā	Farsça,bī	Arapça,wafā	;
puhu;orig	Türkiye Türkçesi,puğu	;
lahmacun;orig	Arapça,lḥm	Arapça,laḥm	Arapça,ˁcn	;
tedbir;orig	Arapça,dbr	Arapça,dabbara	Arapça,dubr	;
pozitif;orig	Fransızca ,positif	Geç Latince,positivus	Latince,ponere, pos-	;
hop;"none	<p> ""sıçrama sesi"" <b>Ses yansımalı sözcüktür.</b> </p>";
distrofi;orig	İngilizce ,dystrophy	Eski Yunanca,dys+	Eski Yunanca,tréphō	;
sargos;orig	Yeni Yunanca ve Eski Yunanca,sargós	;
single;orig	İngilizce ,single	Latince,singulus	Latince,*sim-culus	;
çeyiz;orig	Arapça,chz	;
bazu;orig	Farsça,bāzū	Orta Farsça,bāzūg	Avesta (Zend) dilinde,bāzav-, bāzu-	Sanskritçe,bāhu	Hintavrupa Anadilinde,*bhāghu-s	;
şemame;orig	Arapça,şmm	Arapça,şamma	;
iletişim;orig	Yeni Türkçe,*iletiş-	Türkiye Türkçesi,ilet-	;
rektör;orig	Fransızca ,recteur	Almanca ,Rektor	Latince,rector	Latince,regere	;
